employer,avg_gpg
newcastle city council,2.9
newcastle university,18.1
nhs professionals limited,-2.3
nic services group limited,4
norfolk and norwich university hospitals nhs foundation trust,32.4
north cumbria integrated care nhs foundation trust,29
north yorkshire county council,6.7
northampton general hospital nhs trust,27.9
northern trains limited,16.7
northumbria healthcare nhs foundation trust,21
northumbria police,11.2
nottingham university hospitals nhs trust,24.2
nottinghamshire county council,8.4
nottinghamshire healthcare nhs trust,6.6
nurse plus and carer plus (uk) limited,2.8
ocado,-1.3
ocs group uk limited,5
oliver wyman limited,43.6
one stop stores limited,6.3
openreach,-14.2
ove arup & partners international limited,17.3
oxfordshire county council,3.2
paystream my max limited,15
pegasystems limited,-1.4
pertemps recruitment partnership limited,-3.6
pets at home ltd,12.2
places for people leisure limited,-10.6
plymouth hospitals nhs trust,29.6
portsmouth city council,11
powys council,7.5
pwc,10.4
pulse healthcare limited,7.4
queen mary university of london,17
reed staffing services limited,-6
rolls-royce plc,0.1
royal & sun alliance insurance plc,29.7
royal berkshire nhs foundation trust,24.1
royal mail,1.9
royal united hospitals bath nhs foundation trust,21.7
sainsburys,9.6
salford royal foundation trust,24.5
santander,30.7
santio limited,5.5
savills (uk) limited,36
screwfix direct limited,6.1
securitas security services (uk) limited,-7.1
sellafield limited,13.6
serco limited,13.7
severn trent water,2.3
sheffield teaching hospitals nhs foundation trust,21.3
sherwood forest hospitals nhs foundation trust,30.5
sky cp limited,22
sky in-home service limited,12.5
sky retail stores limited,5.6
sky subscribers services limited,6.9
sky uk,12.1
sodexo,13.5
south london and maudsley nhs foundation trust,10.7
south tees hospitals nhs foundation trust,31.5
south wales police,12.4
southern health nhs foundation trust,19.2
spire healthcare limited,16.4
sse plc,17.1
st helen's metropolitan borough council,4.8
subsea 7,33.6
suez,-4.6
suffolk county council,12.2
surrey county council,15.4
sussex police,8.5
swansea council,5.9
sytner group limited,21.4
tata consultancy services,17
taylor wimpey,-6
tees esk and wear valleys nhs foundation trust,12.2
telecom service centres limited,9.7
telefonica uk,13.5
tesco,9.7
thames water,8.5
carphone warehouse,8.8
the midcounties co-operative limited,17.3
national trust,13.6
the open university,5.7
the oxford university hospitals nhs trust,25.2
the pennine acute hospitals nhs trust,24.5
the royal wolverhampton nhs trust,28
the university of manchester,17.2
the university of manchester conferences limited,4.4
tjx uk,13.2
travelodge,31.5
travis perkins,4.8
travis perkins trading company limited,-4
tsb bank,32.9
uk armed forces,1.2
united lincolnshire hospitals nhs trust,31.4
united utilities group plc,10.7
united utilities water limited,9.8
university hospitals bristol and weston nhs foundation trust,20.6
university hospitals of morecambe bay nhs foundation trust,29.3
university hospitals of north midlands nhs trust,27.7
university of birmingham,18.3
university of bristol,18.3
university of cambridge,18.3
university of leeds,18.5
university of leicester,20.3
university of liverpool,21.2
university of southampton,17.9
university of the arts,8.3
university of warwick,26.8
university of york,19.1
virgin media,0.3
vodafone,12.8
west hertfordshire hospitals nhs trust,27.3
west yorkshire police,11.9
whitbread,11.7
wickes,13
wilko,11
wincanton group,10
wrightington wigan and leigh nhs foundation trust,31.5
wsp uk limited,20.2
york teaching hospital nhs foundation trust,31.5
yorkshire ambulance service nhs trust,3.9
